Hz,dBFS(rms),THD(%),BUZZ(%)
1083.98,-81.45,0.00,0.00
1089.84,-81.55,0.00,0.00
1095.70,-81.54,0.00,0.00
1101.56,-81.57,0.00,0.00
1107.42,-81.66,0.00,0.00
1113.28,-81.83,0.00,0.00
1119.14,-81.92,0.00,0.00
1125.00,-81.96,0.00,0.00
1130.86,-82.19,0.00,0.00
1136.72,-82.26,0.00,0.00
1142.58,-82.28,0.00,0.00
1148.44,-82.30,0.00,0.00
1154.30,-82.41,0.00,0.00
1160.16,-82.50,0.00,0.00
1166.02,-82.49,0.00,0.00
1171.88,-82.60,0.00,0.00
1177.73,-82.75,0.00,0.00
1183.59,-82.92,0.00,0.00
1189.45,-83.06,0.00,0.00
1195.31,-83.20,0.00,0.00
1201.17,-83.53,0.00,0.00
1207.03,-83.68,0.00,0.00
1212.89,-83.87,0.00,0.00
1218.75,-84.09,0.00,0.00
1224.61,-84.55,0.00,0.00
1230.47,-84.86,0.00,0.00
1236.33,-85.24,0.00,0.00
1242.19,-85.57,0.00,0.00
1248.05,-85.95,0.00,0.00
1253.91,-86.38,0.00,0.00
1259.77,-86.73,0.00,0.00
1265.63,-87.02,0.00,0.00
1271.48,-87.50,0.00,0.00
1277.34,-87.86,0.00,0.00
1283.20,-88.38,0.00,0.00
1289.06,-88.66,0.00,0.00
1294.92,-88.96,0.00,0.00
1300.78,-89.38,0.00,0.00
1306.64,-89.80,0.00,0.00
1312.50,-90.14,0.00,0.00
1318.36,-90.52,0.00,0.00
1324.22,-90.94,0.00,0.00
1330.08,-91.41,0.00,0.00
1335.94,-91.67,0.00,0.00
1341.80,-92.32,0.00,0.00
1347.66,-92.93,0.00,0.00
1353.52,-93.32,0.00,0.00
1359.38,-93.96,0.00,0.00
1365.23,-94.36,0.00,0.00
1371.09,-94.59,0.00,0.00
1376.95,-94.46,0.00,0.00
1382.81,-93.69,0.00,0.00
1388.67,-92.85,0.00,0.00
1394.53,-91.97,0.00,0.00
1400.39,-91.12,0.00,0.00
1406.25,-90.19,0.00,0.00
1412.11,-89.40,0.00,0.00
1417.97,-88.83,0.00,0.00
