Hz,dBFS(rms),THD(%),BUZZ(%)
0.00,-54.72,0.00,0.00,slices,4873
3.91,-48.07,0.00,0.00,ffts,4873
7.81,-52.40,0.00,0.00
11.72,-56.56,0.00,0.00
15.63,-57.03,0.00,0.00
19.53,-55.49,0.00,0.00
23.44,-57.91,0.00,0.00
27.34,-61.08,0.00,0.00
31.25,-57.99,0.00,0.00
35.16,-55.89,0.00,0.00
39.06,-57.48,0.00,0.00
42.97,-56.67,0.00,0.00
46.88,-56.69,0.00,0.00
50.78,-58.94,0.00,0.00
54.69,-59.62,0.00,0.00
58.59,-58.11,0.00,0.00
62.50,-58.12,0.00,0.00
66.41,-59.96,0.00,0.00
70.31,-61.74,0.00,0.00
74.22,-63.57,0.00,0.00
78.13,-68.46,0.00,0.00
82.03,-68.96,0.00,0.00
85.94,-68.76,0.00,0.00
89.84,-69.12,0.00,0.00
93.75,-69.31,0.00,0.00
97.66,-67.20,0.00,0.00
101.56,-66.22,0.00,0.00
105.47,-67.88,0.00,0.00
109.38,-65.81,0.00,0.00
113.28,-62.10,0.00,0.00
117.19,-57.60,0.00,0.00
121.09,-53.49,0.00,0.00
125.00,-50.41,0.00,0.00
128.91,-48.26,0.01,0.00
132.81,-47.82,0.01,0.00
136.72,-47.00,0.01,0.00
140.63,-46.52,0.01,0.00
144.53,-46.24,0.01,0.00
148.44,-45.92,0.01,0.00
152.34,-45.67,0.01,0.00
156.25,-45.44,0.01,0.00
160.16,-45.12,0.01,0.00
164.06,-44.82,0.01,0.00
167.97,-44.65,0.01,0.00
171.88,-44.65,0.01,0.00
175.78,-44.69,0.01,0.00
179.69,-44.74,0.01,0.00
183.59,-44.82,0.01,0.00
187.50,-44.90,0.02,0.00
191.41,-44.98,0.01,0.00
195.31,-45.10,0.00,0.00
199.22,-45.22,0.00,0.00
203.13,-45.34,0.01,0.00
207.03,-45.40,0.01,0.00
210.94,-45.39,0.01,0.00
214.84,-45.33,0.01,0.00
218.75,-45.25,0.01,0.00
222.66,-45.10,0.01,0.00
226.56,-44.89,0.01,0.00
230.47,-44.67,0.01,0.00
234.38,-44.47,0.01,0.00
238.28,-44.29,0.01,0.00
242.19,-44.11,0.00,0.00
246.09,-43.89,0.00,0.00
250.00,-43.64,0.00,0.00
253.91,-43.37,0.00,0.00
257.81,-43.11,0.00,0.00
261.72,-42.87,0.00,0.00
265.63,-42.60,0.00,0.00
269.53,-42.40,0.00,0.00
273.44,-42.21,0.00,0.00
277.34,-42.10,0.00,0.00
281.25,-41.99,0.00,0.00
285.16,-41.91,0.00,0.00
289.06,-41.85,0.00,0.00
292.97,-41.85,0.00,0.00
296.88,-41.89,0.00,0.00
300.78,-41.93,0.00,0.00
304.69,-42.00,0.00,0.00
308.59,-42.09,0.00,0.00
312.50,-42.22,0.00,0.00
316.41,-42.38,0.00,0.00
320.31,-42.57,0.00,0.00
324.22,-42.80,0.00,0.00
328.13,-43.05,0.00,0.00
332.03,-43.31,0.00,0.00
335.94,-43.58,0.00,0.00
339.84,-43.87,0.00,0.00
343.75,-44.16,0.00,0.00
347.66,-44.44,0.00,0.00
351.56,-44.72,0.00,0.00
355.47,-44.99,0.00,0.00
359.38,-45.26,0.00,0.00
363.28,-45.53,0.00,0.00
367.19,-45.81,0.00,0.00
371.09,-46.09,0.00,0.00
375.00,-46.41,0.00,0.00
378.91,-46.76,0.00,0.00
382.81,-47.07,0.00,0.00
386.72,-47.37,0.00,0.00
390.63,-47.70,0.00,0.00
394.53,-48.06,0.00,0.00
398.44,-48.41,0.00,0.00
402.34,-48.81,0.00,0.00
406.25,-49.22,0.00,0.00
410.16,-49.65,0.00,0.00
414.06,-50.04,0.00,0.00
417.97,-50.38,0.00,0.00
421.88,-50.64,0.00,0.00
425.78,-50.92,0.00,0.00
429.69,-51.22,0.00,0.00
433.59,-51.53,0.00,0.00
437.50,-51.82,0.00,0.00
441.41,-52.07,0.00,0.00
445.31,-52.28,0.00,0.00
449.22,-52.45,0.00,0.00
453.13,-52.64,0.00,0.00
457.03,-52.85,0.00,0.00
460.94,-53.05,0.01,0.00
464.84,-53.23,0.00,0.00
468.75,-53.39,0.00,0.00
472.66,-53.56,0.00,0.00
476.56,-53.73,0.00,0.00
480.47,-53.87,0.00,0.00
484.38,-54.01,0.00,0.00
488.28,-54.17,0.00,0.00
492.19,-54.36,0.00,0.00
496.09,-54.58,0.01,0.00
500.00,-54.79,0.00,0.00
503.91,-55.01,0.00,0.00
507.81,-55.23,0.00,0.00
511.72,-55.46,0.01,0.00
515.63,-55.68,0.01,0.00
519.53,-55.94,0.01,0.00
523.44,-56.24,0.00,0.00
527.34,-56.57,0.00,0.00
531.25,-56.96,0.00,0.00
535.16,-57.38,0.00,0.00
539.06,-57.85,0.00,0.00
542.97,-58.38,0.00,0.00
546.88,-58.92,0.00,0.00
550.78,-59.43,0.00,0.00
554.69,-59.88,0.00,0.00
558.59,-60.21,0.00,0.00
562.50,-60.41,0.00,0.00
566.41,-60.53,0.00,0.00
570.31,-60.66,0.00,0.00
574.22,-60.74,0.00,0.00
578.13,-60.71,0.00,0.00
582.03,-60.51,0.00,0.00
585.94,-60.14,0.00,0.00
589.84,-59.63,0.00,0.00
593.75,-59.07,0.00,0.00
597.66,-58.49,0.00,0.00
601.56,-57.92,0.00,0.00
605.47,-57.37,0.00,0.00
609.38,-56.85,0.00,0.00
613.28,-56.36,0.00,0.00
617.19,-55.89,0.00,0.00
621.09,-55.47,0.00,0.00
