Hz,dBFS(rms),THD(%),BUZZ(%)
1083.98,-107.00,0.00,0.00
1089.84,-107.87,0.00,0.00
1095.70,-107.41,0.00,0.00
1101.56,-107.28,0.00,0.00
1107.42,-108.20,0.00,0.00
1113.28,-108.50,0.00,0.00
1119.14,-106.91,0.00,0.00
1125.00,-106.12,0.00,0.00
1130.86,-107.75,0.00,0.00
1136.72,-109.15,0.00,0.00
1142.58,-110.38,0.00,0.00
1148.44,-108.48,0.00,0.00
1154.30,-108.13,0.00,0.00
1160.16,-108.75,0.00,0.00
1166.02,-109.01,0.00,0.00
1171.88,-108.56,0.00,0.00
1177.73,-108.47,0.00,0.00
1183.59,-108.02,0.00,0.00
1189.45,-106.66,0.00,0.00
1195.31,-106.84,0.00,0.00
1201.17,-106.97,0.00,0.00
1207.03,-107.74,0.00,0.00
1212.89,-108.79,0.00,0.00
1218.75,-109.11,0.00,0.00
1224.61,-109.12,0.00,0.00
1230.47,-109.01,0.00,0.00
1236.33,-110.52,0.00,0.00
1242.19,-111.05,0.00,0.00
1248.05,-103.22,0.00,0.00
1253.91,-99.68,0.00,0.00
1259.77,-106.68,0.00,0.00
1265.63,-110.93,0.00,0.00
1271.48,-111.27,0.00,0.00
1277.34,-111.94,0.00,0.00
1283.20,-111.75,0.00,0.00
1289.06,-110.78,0.00,0.00
1294.92,-110.80,0.00,0.00
1300.78,-110.40,0.00,0.00
1306.64,-109.55,0.00,0.00
1312.50,-107.30,0.00,0.00
1318.36,-107.45,0.00,0.00
1324.22,-109.45,0.00,0.00
1330.08,-110.71,0.00,0.00
1335.94,-109.93,0.00,0.00
1341.80,-109.32,0.00,0.00
1347.66,-109.21,0.00,0.00
1353.52,-109.91,0.00,0.00
1359.38,-108.00,0.00,0.00
1365.23,-106.29,0.00,0.00
1371.09,-105.38,0.00,0.00
1376.95,-104.98,0.00,0.00
1382.81,-102.82,0.00,0.00
1388.67,-99.26,0.00,0.00
1394.53,-102.73,0.00,0.00
1400.39,-107.51,0.00,0.00
1406.25,-109.73,0.00,0.00
1412.11,-108.35,0.00,0.00
1417.97,-106.92,0.00,0.00
1423.83,-107.08,0.00,0.00
1429.69,-107.31,0.00,0.00
1435.55,-107.85,0.00,0.00
1441.41,-106.91,0.00,0.00
1447.27,-106.23,0.00,0.00
1453.13,-106.05,0.00,0.00
1458.98,-107.16,0.00,0.00
1464.84,-108.25,0.00,0.00
1470.70,-108.35,0.00,0.00
1476.56,-107.15,0.00,0.00
1482.42,-108.35,0.00,0.00
1488.28,-109.04,0.00,0.00
1494.14,-107.56,0.00,0.00
1500.00,-105.06,0.00,0.00
1505.86,-104.90,0.00,0.00
1511.72,-109.02,0.00,0.00
1517.58,-108.34,0.00,0.00
1523.44,-108.07,0.00,0.00
1529.30,-110.42,0.00,0.00
1535.16,-110.84,0.00,0.00
1541.02,-109.06,0.00,0.00
1546.88,-107.49,0.00,0.00
1552.73,-107.66,0.00,0.00
1558.59,-108.52,0.00,0.00
1564.45,-109.27,0.00,0.00
1570.31,-108.72,0.00,0.00
1576.17,-108.04,0.00,0.00
1582.03,-104.70,0.00,0.00
1587.89,-101.60,0.00,0.00
1593.75,-105.73,0.00,0.00
1599.61,-106.97,0.00,0.00
1605.47,-107.83,0.00,0.00
1611.33,-109.09,0.00,0.00
1617.19,-107.61,0.00,0.00
1623.05,-105.27,0.00,0.00
1628.91,-104.36,0.00,0.00
1634.77,-106.95,0.00,0.00
1640.63,-106.97,0.00,0.00
1646.48,-106.62,0.00,0.00
1652.34,-106.52,0.00,0.00
1658.20,-107.29,0.00,0.00
1664.06,-107.21,0.00,0.00
1669.92,-107.11,0.00,0.00
1675.78,-106.00,0.00,0.00
1681.64,-102.89,0.00,0.00
1687.50,-99.37,0.00,0.00
1693.36,-100.00,0.00,0.00
1699.22,-103.76,0.00,0.00
1705.08,-104.58,0.00,0.00
1710.94,-104.78,0.00,0.00
1716.80,-102.39,0.00,0.00
1722.66,-101.94,0.00,0.00
1728.52,-102.22,0.00,0.00
1734.38,-100.76,0.00,0.00
1740.23,-101.53,0.00,0.00
1746.09,-97.87,0.00,0.00
1751.95,-89.34,0.00,0.00
1757.81,-90.84,0.00,0.00
1763.67,-103.29,0.00,0.00
1769.53,-104.29,0.00,0.00
