Hz,dBFS(rms),THD(%),BUZZ(%)
1083.98,-58.05,0.00,0.00
1089.84,-58.17,0.00,0.00
1095.70,-58.26,0.00,0.00
1101.56,-58.32,0.00,0.00
1107.42,-58.37,0.00,0.00
1113.28,-58.39,0.00,0.00
1119.14,-58.42,0.00,0.00
1125.00,-58.43,0.00,0.00
1130.86,-58.44,0.00,0.00
1136.72,-58.44,0.00,0.00
1142.58,-58.46,0.00,0.00
1148.44,-58.49,0.00,0.00
1154.30,-58.50,0.00,0.00
1160.16,-58.53,0.00,0.00
1166.02,-58.58,0.00,0.00
1171.88,-58.63,0.00,0.00
1177.73,-58.66,0.00,0.00
1183.59,-58.68,0.00,0.00
1189.45,-58.72,0.00,0.00
1195.31,-58.80,0.00,0.00
1201.17,-58.82,0.00,0.00
1207.03,-58.87,0.00,0.00
1212.89,-58.95,0.00,0.00
1218.75,-59.00,0.00,0.00
1224.61,-59.06,0.00,0.00
1230.47,-59.13,0.00,0.00
1236.33,-59.18,0.00,0.00
1242.19,-59.18,0.00,0.00
1248.05,-59.14,0.00,0.00
1253.91,-59.03,0.00,0.00
1259.77,-58.91,0.00,0.00
1265.63,-58.74,0.00,0.00
1271.48,-58.51,0.00,0.00
1277.34,-58.26,0.00,0.00
1283.20,-58.03,0.00,0.00
1289.06,-57.79,0.00,0.00
1294.92,-57.57,0.00,0.00
1300.78,-57.37,0.00,0.00
1306.64,-57.18,0.00,0.00
1312.50,-57.03,0.00,0.00
1318.36,-56.89,0.00,0.00
1324.22,-56.79,0.00,0.00
1330.08,-56.69,0.00,0.00
1335.94,-56.60,0.00,0.00
1341.80,-56.56,0.00,0.00
1347.66,-56.53,0.00,0.00
1353.52,-56.53,0.00,0.00
1359.38,-56.54,0.00,0.00
1365.23,-56.57,0.00,0.00
1371.09,-56.59,0.00,0.00
1376.95,-56.59,0.00,0.00
1382.81,-56.56,0.00,0.00
1388.67,-56.49,0.00,0.00
1394.53,-56.38,0.00,0.00
1400.39,-56.22,0.00,0.00
1406.25,-56.07,0.00,0.00
1412.11,-55.92,0.00,0.00
1417.97,-55.76,0.00,0.00
1423.83,-55.63,0.00,0.00
1429.69,-55.54,0.00,0.00
1435.55,-55.46,0.00,0.00
1441.41,-55.38,0.00,0.00
1447.27,-55.33,0.00,0.00
1453.13,-55.26,0.00,0.00
1458.98,-55.20,0.00,0.00
1464.84,-55.15,0.00,0.00
1470.70,-55.10,0.00,0.00
1476.56,-55.02,0.00,0.00
1482.42,-54.92,0.00,0.00
1488.28,-54.80,0.00,0.00
1494.14,-54.67,0.00,0.00
1500.00,-54.53,0.00,0.00
1505.86,-54.41,0.00,0.00
1511.72,-54.30,0.00,0.00
1517.58,-54.22,0.00,0.00
1523.44,-54.13,0.00,0.00
1529.30,-54.04,0.00,0.00
1535.16,-53.95,0.00,0.00
1541.02,-53.87,0.00,0.00
1546.88,-53.78,0.00,0.00
1552.73,-53.72,0.00,0.00
1558.59,-53.65,0.00,0.00
1564.45,-53.60,0.00,0.00
1570.31,-53.55,0.00,0.00
1576.17,-53.51,0.00,0.00
1582.03,-53.47,0.00,0.00
1587.89,-53.43,0.00,0.00
1593.75,-53.39,0.00,0.00
1599.61,-53.36,0.00,0.00
1605.47,-53.33,0.00,0.00
1611.33,-53.30,0.00,0.00
1617.19,-53.27,0.00,0.00
1623.05,-53.23,0.00,0.00
1628.91,-53.21,0.00,0.00
1634.77,-53.19,0.00,0.00
1640.63,-53.19,0.00,0.00
1646.48,-53.22,0.00,0.00
1652.34,-53.27,0.00,0.00
1658.20,-53.33,0.00,0.00
1664.06,-53.43,0.00,0.00
1669.92,-53.56,0.00,0.00
1675.78,-53.71,0.00,0.00
1681.64,-53.89,0.00,0.00
1687.50,-54.08,0.00,0.00
1693.36,-54.29,0.00,0.00
1699.22,-54.53,0.00,0.00
1705.08,-54.78,0.00,0.00
1710.94,-55.03,0.00,0.00
1716.80,-55.33,0.00,0.00
1722.66,-55.65,0.00,0.00
1728.52,-55.98,0.00,0.00
1734.38,-56.30,0.00,0.00
1740.23,-56.63,0.00,0.00
1746.09,-56.92,0.00,0.00
1751.95,-57.09,0.00,0.00
1757.81,-57.29,0.00,0.00
1763.67,-57.52,0.00,0.00
1769.53,-57.60,0.00,0.00
1775.39,-57.67,0.00,0.00
1781.25,-57.74,0.00,0.00
1787.11,-57.80,0.00,0.00
1792.97,-57.90,0.00,0.00
1798.83,-58.00,0.00,0.00
1804.69,-58.13,0.00,0.00
1810.55,-58.29,0.00,0.00
1816.41,-58.45,0.00,0.00
1822.27,-58.62,0.00,0.00
1828.13,-58.81,0.00,0.00
1833.98,-58.98,0.00,0.00
1839.84,-59.10,0.00,0.00
1845.70,-59.17,0.00,0.00
1851.56,-59.15,0.00,0.00
1857.42,-59.09,0.00,0.00
1863.28,-58.97,0.00,0.00
1869.14,-58.78,0.00,0.00
1875.00,-58.58,0.00,0.00
1880.86,-58.34,0.00,0.00
1886.72,-58.09,0.00,0.00
1892.58,-57.81,0.00,0.00
1898.44,-57.55,0.00,0.00
1904.30,-57.30,0.00,0.00
1910.16,-57.04,0.00,0.00
1916.02,-56.81,0.00,0.00
1921.88,-56.58,0.00,0.00
1927.73,-56.39,0.00,0.00
1933.59,-56.22,0.00,0.00
1939.45,-56.05,0.00,0.00
1945.31,-55.91,0.00,0.00
1951.17,-55.80,0.00,0.00
1957.03,-55.69,0.00,0.00
1962.89,-55.57,0.00,0.00
1968.75,-55.43,0.00,0.00
1974.61,-55.29,0.00,0.00
1980.47,-55.12,0.00,0.00
1986.33,-54.94,0.00,0.00
1992.19,-54.74,0.00,0.00
1998.05,-54.53,0.00,0.00
2003.91,-54.31,0.00,0.00
2009.77,-54.08,0.00,0.00
2015.63,-53.84,0.00,0.00
2021.48,-53.62,0.00,0.00
2027.34,-53.41,0.00,0.00
2033.20,-53.21,0.00,0.00
2039.06,-53.06,0.00,0.00
2044.92,-52.96,0.00,0.00
2050.78,-52.94,0.00,0.00
2056.64,-53.02,0.00,0.00
2062.50,-53.15,0.00,0.00
2068.36,-53.35,0.00,0.00
2074.22,-53.59,0.00,0.00
2080.08,-53.81,0.00,0.00
2085.94,-54.00,0.00,0.00
2091.80,-54.11,0.00,0.00
2097.66,-54.14,0.00,0.00
2103.52,-54.12,0.00,0.00
2109.38,-54.04,0.00,0.00
2115.23,-53.91,0.00,0.00
2121.09,-53.76,0.00,0.00
2126.95,-53.61,0.00,0.00
2132.81,-53.49,0.00,0.00
2138.67,-53.40,0.00,0.00
2144.53,-53.31,0.00,0.00
2150.39,-53.26,0.00,0.00
2156.25,-53.25,0.00,0.00
2162.11,-53.25,0.00,0.00
2167.97,-53.28,0.00,0.00
2173.83,-53.36,0.00,0.00
2179.69,-53.46,0.00,0.00
2185.55,-53.58,0.00,0.00
2191.41,-53.74,0.00,0.00
2197.27,-53.92,0.00,0.00
2203.13,-54.12,0.00,0.00
2208.98,-54.32,0.00,0.00
2214.84,-54.52,0.00,0.00
2220.70,-54.74,0.00,0.00
2226.56,-54.94,0.00,0.00
2232.42,-55.12,0.00,0.00
2238.28,-55.28,0.00,0.00
2244.14,-55.40,0.00,0.00
2250.00,-55.51,0.00,0.00
2255.86,-55.57,0.00,0.00
2261.72,-55.60,0.00,0.00
2267.58,-55.62,0.00,0.00
2273.44,-55.61,0.00,0.00
2279.30,-55.59,0.00,0.00
2285.16,-55.54,0.00,0.00
2291.02,-55.49,0.00,0.00
2296.88,-55.43,0.00,0.00
2302.73,-55.33,0.00,0.00
2308.59,-55.23,0.00,0.00
2314.45,-55.12,0.00,0.00
2320.31,-54.99,0.00,0.00
2326.17,-54.83,0.00,0.00
2332.03,-54.66,0.00,0.00
2337.89,-54.47,0.00,0.00
2343.75,-54.27,0.00,0.00
2349.61,-54.05,0.00,0.00
2355.47,-53.85,0.00,0.00
2361.33,-53.66,0.00,0.00
2367.19,-53.49,0.00,0.00
2373.05,-53.36,0.00,0.00
2378.91,-53.26,0.00,0.00
2384.77,-53.20,0.00,0.00
2390.63,-53.17,0.00,0.00
2396.48,-53.20,0.00,0.00
2402.34,-53.24,0.00,0.00
2408.20,-53.30,0.00,0.00
2414.06,-53.37,0.00,0.00
2419.92,-53.46,0.00,0.00
2425.78,-53.56,0.00,0.00
2431.64,-53.67,0.00,0.00
2437.50,-53.77,0.00,0.00
2443.36,-53.88,0.00,0.00
2449.22,-54.00,0.00,0.00
2455.08,-54.10,0.00,0.00
2460.94,-54.21,0.00,0.00
2466.80,-54.32,0.00,0.00
2472.66,-54.43,0.00,0.00
2478.52,-54.52,0.00,0.00
2484.38,-54.65,0.00,0.00
2490.23,-54.78,0.00,0.00
2496.09,-54.91,0.00,0.00
2501.95,-55.04,0.00,0.00
2507.81,-55.16,0.00,0.00
2513.67,-55.29,0.00,0.00
2519.53,-55.43,0.00,0.00
2525.39,-55.56,0.00,0.00
2531.25,-55.71,0.00,0.00
2537.11,-55.84,0.00,0.00
2542.97,-55.96,0.00,0.00
2548.83,-56.11,0.00,0.00
2554.69,-56.26,0.00,0.00
2560.55,-56.41,0.00,0.00
2566.41,-56.57,0.00,0.00
2572.27,-56.73,0.00,0.00
2578.13,-56.91,0.00,0.00
2583.98,-57.11,0.00,0.00
2589.84,-57.30,0.00,0.00
2595.70,-57.50,0.00,0.00
2601.56,-57.71,0.00,0.00
2607.42,-57.93,0.00,0.00
2613.28,-58.14,0.00,0.00
2619.14,-58.35,0.00,0.00
2625.00,-58.53,0.00,0.00
2630.86,-58.67,0.00,0.00
2636.72,-58.77,0.00,0.00
2642.58,-58.87,0.00,0.00
2648.44,-58.92,0.00,0.00
2654.30,-58.96,0.00,0.00
2660.16,-59.02,0.00,0.00
2666.02,-59.10,0.00,0.00
2671.88,-59.15,0.00,0.00
2677.73,-59.19,0.00,0.00
2683.59,-59.23,0.00,0.00
2689.45,-59.26,0.00,0.00
2695.31,-59.27,0.00,0.00
2701.17,-59.28,0.00,0.00
2707.03,-59.30,0.00,0.00
2712.89,-59.32,0.00,0.00
2718.75,-59.32,0.00,0.00
2724.61,-59.32,0.00,0.00
2730.47,-59.33,0.00,0.00
2736.33,-59.34,0.00,0.00
2742.19,-59.33,0.00,0.00
2748.05,-59.33,0.00,0.00
2753.91,-59.32,0.00,0.00
2759.77,-59.33,0.00,0.00
2765.63,-59.37,0.00,0.00
2771.48,-59.37,0.00,0.00
2777.34,-59.35,0.00,0.00
2783.20,-59.35,0.00,0.00
2789.06,-59.35,0.00,0.00
2794.92,-59.36,0.00,0.00
2800.78,-59.34,0.00,0.00
2806.64,-59.32,0.00,0.00
2812.50,-59.31,0.00,0.00
2818.36,-59.30,0.00,0.00
2824.22,-59.29,0.00,0.00
2830.08,-59.27,0.00,0.00
2835.94,-59.27,0.00,0.00
2841.80,-59.29,0.00,0.00
2847.66,-59.35,0.00,0.00
2853.52,-59.39,0.00,0.00
2859.38,-59.44,0.00,0.00
2865.23,-59.50,0.00,0.00
2871.09,-59.55,0.00,0.00
2876.95,-59.59,0.00,0.00
2882.81,-59.60,0.00,0.00
2888.67,-59.60,0.00,0.00
2894.53,-59.59,0.00,0.00
2900.39,-59.55,0.00,0.00
2906.25,-59.52,0.00,0.00
2912.11,-59.47,0.00,0.00
2917.97,-59.42,0.00,0.00
2923.83,-59.35,0.00,0.00
2929.69,-59.30,0.00,0.00
2935.55,-59.27,0.00,0.00
2941.41,-59.24,0.00,0.00
2947.27,-59.22,0.00,0.00
2953.13,-59.23,0.00,0.00
2958.98,-59.27,0.00,0.00
2964.84,-59.29,0.00,0.00
2970.70,-59.32,0.00,0.00
2976.56,-59.36,0.00,0.00
2982.42,-59.40,0.00,0.00
2988.28,-59.44,0.00,0.00
2994.14,-59.47,0.00,0.00
3000.00,-59.51,0.00,0.00
3005.86,-59.58,0.00,0.00
3011.72,-59.65,0.00,0.00
3017.58,-59.72,0.00,0.00
3023.44,-59.81,0.00,0.00
3029.30,-59.91,0.00,0.00
3035.16,-60.01,0.00,0.00
3041.02,-60.10,0.00,0.00
3046.88,-60.24,0.00,0.00
3052.73,-60.38,0.00,0.00
3058.59,-60.56,0.00,0.00
3064.45,-60.74,0.00,0.00
3070.31,-60.96,0.00,0.00
3076.17,-61.21,0.00,0.00
3082.03,-61.49,0.00,0.00
3087.89,-61.76,0.00,0.00
3093.75,-62.03,0.00,0.00
3099.61,-62.31,0.00,0.00
3105.47,-62.58,0.00,0.00
3111.33,-62.82,0.00,0.00
3117.19,-63.02,0.00,0.00
3123.05,-63.15,0.00,0.00
3128.91,-63.23,0.00,0.00
3134.77,-63.26,0.00,0.00
3140.63,-63.24,0.00,0.00
3146.48,-63.20,0.00,0.00
3152.34,-63.10,0.00,0.00
3158.20,-62.93,0.00,0.00
3164.06,-62.72,0.00,0.00
3169.92,-62.50,0.00,0.00
3175.78,-62.25,0.00,0.00
3181.64,-62.00,0.00,0.00
3187.50,-61.77,0.00,0.00
3193.36,-61.59,0.00,0.00
3199.22,-61.45,0.00,0.00
3205.08,-61.37,0.00,0.00
3210.94,-61.31,0.00,0.00
3216.80,-61.31,0.00,0.00
3222.66,-61.37,0.00,0.00
3228.52,-61.44,0.00,0.00
3234.38,-61.52,0.00,0.00
3240.23,-61.59,0.00,0.00
3246.09,-61.66,0.00,0.00
3251.95,-61.70,0.00,0.00
3257.81,-61.72,0.00,0.00
3263.67,-61.73,0.00,0.00
3269.53,-61.69,0.00,0.00
3275.39,-61.65,0.00,0.00
3281.25,-61.61,0.00,0.00
3287.11,-61.56,0.00,0.00
3292.97,-61.50,0.00,0.00
3298.83,-61.44,0.00,0.00
3304.69,-61.36,0.00,0.00
3310.55,-61.33,0.00,0.00
3316.41,-61.33,0.00,0.00
3322.27,-61.33,0.00,0.00
3328.13,-61.36,0.00,0.00
3333.98,-61.44,0.00,0.00
3339.84,-61.50,0.00,0.00
3345.70,-61.62,0.00,0.00
3351.56,-61.72,0.00,0.00
3357.42,-61.87,0.00,0.00
3363.28,-62.02,0.00,0.00
3369.14,-62.15,0.00,0.00
3375.00,-62.29,0.00,0.00
3380.86,-62.43,0.00,0.00
3386.72,-62.57,0.00,0.00
3392.58,-62.69,0.00,0.00
3398.44,-62.78,0.00,0.00
3404.30,-62.84,0.00,0.00
3410.16,-62.90,0.00,0.00
3416.02,-62.92,0.00,0.00
3421.88,-62.93,0.00,0.00
3427.73,-62.94,0.00,0.00
3433.59,-62.89,0.00,0.00
3439.45,-62.80,0.00,0.00
3445.31,-62.72,0.00,0.00
3451.17,-62.60,0.00,0.00
3457.03,-62.49,0.00,0.00
3462.89,-62.41,0.00,0.00
3468.75,-62.30,0.00,0.00
3474.61,-62.18,0.00,0.00
3480.47,-62.06,0.00,0.00
3486.33,-61.94,0.00,0.00
3492.19,-61.83,0.00,0.00
3498.05,-61.73,0.00,0.00
3503.91,-61.64,0.00,0.00
3509.77,-61.54,0.00,0.00
3515.63,-61.46,0.00,0.00
3521.48,-61.41,0.00,0.00
3527.34,-61.36,0.00,0.00
3533.20,-61.31,0.00,0.00
3539.06,-61.30,0.00,0.00
3544.92,-61.29,0.00,0.00
3550.78,-61.30,0.00,0.00
3556.64,-61.30,0.00,0.00
3562.50,-61.31,0.00,0.00
3568.36,-61.36,0.00,0.00
3574.22,-61.41,0.00,0.00
3580.08,-61.42,0.00,0.00
3585.94,-61.46,0.00,0.00
3591.80,-61.50,0.00,0.00
3597.66,-61.46,0.00,0.00
3603.52,-61.43,0.00,0.00
3609.38,-61.46,0.00,0.00
3615.23,-61.38,0.00,0.00
3621.09,-61.32,0.00,0.00
3626.95,-61.24,0.00,0.00
3632.81,-61.14,0.00,0.00
3638.67,-61.03,0.00,0.00
3644.53,-60.94,0.00,0.00
3650.39,-60.82,0.00,0.00
3656.25,-60.72,0.00,0.00
3662.11,-60.61,0.00,0.00
3667.97,-60.51,0.00,0.00
3673.83,-60.42,0.00,0.00
3679.69,-60.31,0.00,0.00
3685.55,-60.20,0.00,0.00
3691.41,-60.11,0.00,0.00
3697.27,-60.01,0.00,0.00
3703.13,-59.91,0.00,0.00
3708.98,-59.84,0.00,0.00
3714.84,-59.79,0.00,0.00
3720.70,-59.72,0.00,0.00
3726.56,-59.66,0.00,0.00
3732.42,-59.56,0.00,0.00
3738.28,-59.48,0.00,0.00
3744.14,-59.40,0.00,0.00
3750.00,-59.30,0.00,0.00
3755.86,-59.21,0.00,0.00
3761.72,-59.12,0.00,0.00
3767.58,-59.02,0.00,0.00
3773.44,-58.92,0.00,0.00
3779.30,-58.82,0.00,0.00
3785.16,-58.73,0.00,0.00
3791.02,-58.63,0.00,0.00
3796.88,-58.53,0.00,0.00
3802.73,-58.42,0.00,0.00
3808.59,-58.30,0.00,0.00
3814.45,-58.19,0.00,0.00
3820.31,-58.05,0.00,0.00
3826.17,-57.91,0.00,0.00
3832.03,-57.77,0.00,0.00
3837.89,-57.60,0.00,0.00
3843.75,-57.42,0.00,0.00
3849.61,-57.25,0.00,0.00
3855.47,-57.05,0.00,0.00
3861.33,-56.86,0.00,0.00
3867.19,-56.67,0.00,0.00
3873.05,-56.47,0.00,0.00
3878.91,-56.29,0.00,0.00
3884.77,-56.14,0.00,0.00
3890.63,-55.98,0.00,0.00
3896.48,-55.86,0.00,0.00
3902.34,-55.74,0.00,0.00
3908.20,-55.63,0.00,0.00
3914.06,-55.53,0.00,0.00
3919.92,-55.44,0.00,0.00
3925.78,-55.36,0.00,0.00
3931.64,-55.28,0.00,0.00
3937.50,-55.22,0.00,0.00
3943.36,-55.15,0.00,0.00
3949.22,-55.07,0.00,0.00
3955.08,-55.03,0.00,0.00
3960.94,-55.00,0.00,0.00
3966.80,-54.97,0.00,0.00
3972.66,-54.98,0.00,0.00
3978.52,-55.01,0.00,0.00
3984.38,-55.04,0.00,0.00
3990.23,-55.08,0.00,0.00
3996.09,-55.14,0.00,0.00
4001.95,-55.18,0.25,0.01
4007.81,-55.23,0.26,0.00
4013.67,-55.28,0.25,0.02
4019.53,-55.32,0.26,0.02
4025.39,-55.35,0.25,0.01
4031.25,-55.37,0.00,0.00
4037.11,-55.37,0.00,0.00
4042.97,-55.34,0.00,0.00
4048.83,-55.30,0.00,0.00
4054.69,-55.24,0.00,0.00
4060.55,-55.16,0.00,0.00
4066.41,-55.07,0.25,0.01
4072.27,-54.98,0.26,0.01
4078.13,-54.87,0.26,0.02
4083.98,-54.79,0.29,0.02
4089.84,-54.70,0.25,0.02
4095.70,-54.65,0.27,0.02
4101.56,-54.60,0.29,0.01
4107.42,-54.58,0.26,0.01
4113.28,-54.56,0.28,0.02
4119.14,-54.56,0.28,0.01
4125.00,-54.58,0.30,0.01
4130.86,-54.61,0.30,0.02
4136.72,-54.63,0.29,0.01
4142.58,-54.68,0.29,0.02
4148.44,-54.75,0.27,0.01
4154.30,-54.83,0.27,0.01
4160.16,-54.94,0.26,0.01
4166.02,-55.06,0.26,0.02
4171.88,-55.18,0.23,0.00
4177.73,-55.31,0.25,0.02
4183.59,-55.46,0.26,0.01
4189.45,-55.61,0.25,0.01
4195.31,-55.76,0.23,0.01
4201.17,-55.89,0.25,0.02
4207.03,-56.01,0.25,0.02
4212.89,-56.14,0.23,0.01
4218.75,-56.26,0.22,0.02
4224.61,-56.37,0.23,0.01
4230.47,-56.47,0.23,0.01
4236.33,-56.57,0.22,0.01
4242.19,-56.67,0.22,0.01
4248.05,-56.78,0.00,0.00
4253.91,-56.89,0.00,0.00
4259.77,-56.98,0.00,0.00
4265.63,-57.07,0.00,0.00
4271.48,-57.14,0.00,0.00
4277.34,-57.16,0.00,0.00
4283.20,-57.15,0.00,0.00
4289.06,-57.09,0.00,0.00
4294.92,-57.03,0.00,0.00
4300.78,-56.95,0.00,0.00
4306.64,-56.90,0.20,0.02
4312.50,-56.84,0.21,0.02
4318.36,-56.79,0.21,0.01
4324.22,-56.75,0.00,0.00
4330.08,-56.71,0.00,0.00
4335.94,-56.64,0.00,0.00
4341.80,-56.55,0.00,0.00
4347.66,-56.44,0.00,0.00
4353.52,-56.30,0.00,0.00
4359.38,-56.17,0.24,0.02
4365.23,-56.04,0.25,0.02
4371.09,-55.94,0.25,0.02
4376.95,-55.87,0.25,0.01
4382.81,-55.85,0.24,0.02
4388.67,-55.87,0.22,0.03
4394.53,-55.94,0.21,0.02
4400.39,-56.08,0.22,0.02
4406.25,-56.28,0.20,0.01
4412.11,-56.47,0.00,0.00
4417.97,-56.66,0.00,0.00
4423.83,-56.83,0.00,0.00
4429.69,-56.93,0.00,0.00
4435.55,-57.01,0.00,0.00
4441.41,-57.07,0.00,0.00
4447.27,-57.15,0.20,0.01
4453.13,-57.22,0.21,0.01
4458.98,-57.29,0.21,0.01
