Hz,dBFS(rms),THD(%),BUZZ(%)
722.66,-44.51,0.00,0.00
726.56,-44.40,0.00,0.00
730.47,-44.28,0.00,0.00
734.38,-44.16,0.00,0.00
738.28,-44.05,0.00,0.00
742.19,-43.93,0.00,0.00
746.09,-43.81,0.00,0.00
750.00,-43.70,0.00,0.00
753.91,-43.59,0.00,0.00
757.81,-43.49,0.00,0.00
761.72,-43.40,0.00,0.00
765.63,-43.30,0.00,0.00
769.53,-43.21,0.00,0.00
773.44,-43.13,0.00,0.00
777.34,-43.06,0.00,0.00
781.25,-42.99,0.00,0.00
785.16,-42.93,0.00,0.00
789.06,-42.89,0.00,0.00
792.97,-42.85,0.00,0.00
796.88,-42.81,0.00,0.00
800.78,-42.79,0.00,0.00
804.69,-42.76,0.00,0.00
808.59,-42.75,0.00,0.00
812.50,-42.73,0.00,0.00
816.41,-42.73,0.00,0.00
820.31,-42.72,0.00,0.00
824.22,-42.72,0.00,0.00
828.13,-42.72,0.00,0.00
832.03,-42.72,0.00,0.00
835.94,-42.72,0.00,0.00
839.84,-42.73,0.00,0.00
843.75,-42.73,0.00,0.00
847.66,-42.74,0.00,0.00
851.56,-42.74,0.00,0.00
855.47,-42.75,0.00,0.00
859.38,-42.76,0.00,0.00
863.28,-42.76,0.00,0.00
867.19,-42.77,0.00,0.00
871.09,-42.78,0.00,0.00
875.00,-42.78,0.00,0.00
878.91,-42.79,0.00,0.00
882.81,-42.79,0.00,0.00
886.72,-42.80,0.00,0.00
890.63,-42.80,0.00,0.00
894.53,-42.80,0.00,0.00
898.44,-42.80,0.00,0.00
902.34,-42.79,0.00,0.00
906.25,-42.79,0.00,0.00
910.16,-42.78,0.00,0.00
914.06,-42.76,0.00,0.00
917.97,-42.74,0.00,0.00
921.88,-42.72,0.00,0.00
925.78,-42.69,0.00,0.00
929.69,-42.67,0.00,0.00
933.59,-42.64,0.00,0.00
937.50,-42.61,0.00,0.00
941.41,-42.58,0.00,0.00
945.31,-42.55,0.00,0.00
949.22,-42.51,0.00,0.00
953.13,-42.47,0.00,0.00
957.03,-42.43,0.00,0.00
960.94,-42.39,0.00,0.00
964.84,-42.35,0.00,0.00
968.75,-42.31,0.00,0.00
972.66,-42.27,0.00,0.00
976.56,-42.23,0.00,0.00
980.47,-42.19,0.00,0.00
984.38,-42.16,0.00,0.00
988.28,-42.13,0.00,0.00
992.19,-42.09,0.00,0.00
996.09,-42.06,0.00,0.00
1000.00,-42.03,0.00,0.00
1003.91,-42.01,0.00,0.00
1007.81,-41.98,0.00,0.00
1011.72,-41.96,0.00,0.00
1015.63,-41.94,0.00,0.00
1019.53,-41.92,0.00,0.00
1023.44,-41.90,0.00,0.00
1027.34,-41.88,0.00,0.00
1031.25,-41.87,0.00,0.00
1035.16,-41.86,0.00,0.00
1039.06,-41.85,0.00,0.00
1042.97,-41.85,0.00,0.00
1046.88,-41.85,0.00,0.00
1050.78,-41.85,0.00,0.00
1054.69,-41.86,0.00,0.00
1058.59,-41.88,0.00,0.00
1062.50,-41.90,0.00,0.00
1066.41,-41.93,0.00,0.00
1070.31,-41.97,0.00,0.00
1074.22,-42.02,0.00,0.00
1078.13,-42.08,0.00,0.00
1082.03,-42.15,0.00,0.00
1085.94,-42.24,0.00,0.00
1089.84,-42.33,0.00,0.00
1093.75,-42.45,0.00,0.00
1097.66,-42.57,0.00,0.00
1101.56,-42.71,0.00,0.00
1105.47,-42.86,0.00,0.00
1109.38,-43.03,0.00,0.00
1113.28,-43.21,0.00,0.00
1117.19,-43.40,0.00,0.00
1121.09,-43.60,0.00,0.00
1125.00,-43.81,0.00,0.00
1128.91,-44.02,0.00,0.00
1132.81,-44.23,0.00,0.00
1136.72,-44.46,0.00,0.00
1140.63,-44.69,0.00,0.00
1144.53,-44.93,0.00,0.00
1148.44,-45.17,0.00,0.00
