Hz,dBFS(rms),THD(%),BUZZ(%)
1083.98,-77.84,0.00,0.00
1089.84,-77.72,0.00,0.00
1095.70,-78.17,0.00,0.00
1101.56,-78.81,0.00,0.00
1107.42,-78.58,0.00,0.00
1113.28,-78.36,0.00,0.00
1119.14,-78.41,0.00,0.00
1125.00,-78.48,0.00,0.00
1130.86,-78.27,0.00,0.00
1136.72,-78.24,0.00,0.00
1142.58,-78.54,0.00,0.00
1148.44,-78.91,0.00,0.00
1154.30,-79.08,0.00,0.00
1160.16,-78.73,0.00,0.00
1166.02,-78.10,0.00,0.00
1171.88,-77.91,0.00,0.00
1177.73,-78.33,0.00,0.00
1183.59,-78.86,0.00,0.00
1189.45,-79.23,0.00,0.00
1195.31,-78.98,0.00,0.00
1201.17,-78.46,0.00,0.00
1207.03,-79.50,0.00,0.00
1212.89,-79.35,0.00,0.00
1218.75,-79.34,0.00,0.00
1224.61,-80.15,0.00,0.00
1230.47,-79.91,0.00,0.00
1236.33,-79.51,0.00,0.00
1242.19,-79.36,0.00,0.00
1248.05,-79.68,0.00,0.00
1253.91,-79.30,0.00,0.00
1259.77,-79.10,0.00,0.00
1265.63,-79.29,0.00,0.00
1271.48,-79.55,0.00,0.00
1277.34,-79.92,0.00,0.00
1283.20,-80.25,0.00,0.00
1289.06,-80.25,0.00,0.00
1294.92,-79.83,0.00,0.00
1300.78,-78.99,0.00,0.00
1306.64,-79.16,0.00,0.00
1312.50,-79.59,0.00,0.00
1318.36,-80.12,0.00,0.00
1324.22,-80.59,0.00,0.00
1330.08,-80.83,0.00,0.00
1335.94,-80.75,0.00,0.00
1341.80,-80.66,0.00,0.00
1347.66,-80.11,0.00,0.00
1353.52,-79.85,0.00,0.00
1359.38,-79.53,0.00,0.00
1365.23,-79.09,0.00,0.00
1371.09,-75.75,0.00,0.00
1376.95,-56.46,0.00,0.00
1382.81,-47.84,0.00,0.00
1388.67,-51.27,0.00,0.00
1394.53,-71.90,0.00,0.00
1400.39,-78.58,0.00,0.00
1406.25,-80.57,0.00,0.00
1412.11,-80.33,0.00,0.00
1417.97,-79.98,0.00,0.00
1423.83,-80.19,0.00,0.00
1429.69,-80.08,0.00,0.00
1435.55,-80.36,0.00,0.00
1441.41,-81.05,0.00,0.00
1447.27,-81.26,0.00,0.00
1453.13,-82.19,0.00,0.00
1458.98,-81.26,0.00,0.00
1464.84,-81.07,0.00,0.00
1470.70,-81.08,0.00,0.00
1476.56,-80.52,0.00,0.00
1482.42,-80.88,0.00,0.00
1488.28,-80.86,0.00,0.00
1494.14,-81.21,0.00,0.00
1500.00,-81.49,0.00,0.00
1505.86,-81.85,0.00,0.00
1511.72,-81.65,0.00,0.00
1517.58,-82.01,0.00,0.00
1523.44,-82.40,0.00,0.00
1529.30,-81.92,0.00,0.00
1535.16,-81.55,0.00,0.00
1541.02,-81.31,0.00,0.00
1546.88,-81.58,0.00,0.00
1552.73,-81.29,0.00,0.00
1558.59,-81.09,0.00,0.00
1564.45,-81.12,0.00,0.00
1570.31,-81.68,0.00,0.00
1576.17,-81.68,0.00,0.00
1582.03,-81.47,0.00,0.00
1587.89,-81.23,0.00,0.00
1593.75,-81.75,0.00,0.00
1599.61,-82.24,0.00,0.00
1605.47,-81.95,0.00,0.00
1611.33,-81.80,0.00,0.00
1617.19,-82.19,0.00,0.00
1623.05,-82.28,0.00,0.00
1628.91,-81.98,0.00,0.00
1634.77,-82.89,0.00,0.00
1640.63,-82.72,0.00,0.00
