Hz,dBFS(rms),THD(%),BUZZ(%)
0.00,-53.55,0.00,0.00,slices,4915
5.86,-46.78,0.00,0.00,ffts,4915
11.72,-49.17,0.00,0.00
17.58,-49.26,0.00,0.00
23.44,-50.24,0.00,0.00
29.30,-49.57,0.00,0.00
35.16,-44.73,0.00,0.00
41.02,-44.88,0.00,0.00
46.88,-45.80,0.00,0.00
52.73,-44.65,0.00,0.00
58.59,-42.07,0.00,0.00
64.45,-42.86,0.00,0.00
70.31,-46.85,0.00,0.00
76.17,-51.37,0.00,0.00
82.03,-54.96,0.00,0.00
87.89,-57.81,0.00,0.00
93.75,-60.07,0.00,0.00
99.61,-61.42,0.00,0.00
105.47,-62.31,0.00,0.00
111.33,-61.49,0.00,0.00
117.19,-59.35,0.00,0.00
123.05,-58.12,0.00,0.00
128.91,-56.61,0.00,0.00
134.77,-52.40,0.00,0.00
140.63,-47.69,0.00,0.00
146.48,-45.09,0.01,0.00
152.34,-44.59,0.01,0.00
158.20,-43.84,0.01,0.00
164.06,-43.58,0.01,0.00
169.92,-43.49,0.01,0.00
175.78,-43.63,0.01,0.00
181.64,-43.87,0.01,0.00
187.50,-44.14,0.01,0.01
193.36,-44.47,0.02,0.01
199.22,-44.88,0.02,0.01
205.08,-45.38,0.02,0.01
210.94,-45.82,0.02,0.01
216.80,-46.05,0.02,0.01
222.66,-46.09,0.02,0.00
228.52,-45.98,0.01,0.00
234.38,-45.87,0.01,0.00
240.23,-45.89,0.01,0.00
246.09,-46.07,0.01,0.00
251.95,-46.14,0.01,0.00
257.81,-46.01,0.01,0.00
263.67,-45.75,0.01,0.00
269.53,-45.48,0.01,0.00
275.39,-45.30,0.01,0.00
281.25,-45.26,0.01,0.00
287.11,-45.38,0.01,0.00
292.97,-45.49,0.01,0.00
298.83,-45.54,0.01,0.00
304.69,-45.59,0.01,0.00
310.55,-45.80,0.01,0.00
316.41,-46.15,0.01,0.00
322.27,-46.64,0.01,0.00
328.13,-47.18,0.01,0.00
333.98,-47.70,0.01,0.00
339.84,-48.21,0.01,0.00
345.70,-48.71,0.01,0.00
351.56,-49.22,0.01,0.00
357.42,-49.76,0.01,0.00
363.28,-50.29,0.01,0.00
369.14,-50.83,0.02,0.00
375.00,-51.29,0.01,0.00
380.86,-51.70,0.02,0.00
386.72,-52.09,0.02,0.00
392.58,-52.41,0.02,0.00
398.44,-52.69,0.02,0.00
404.30,-52.88,0.02,0.00
410.16,-52.98,0.02,0.00
416.02,-53.01,0.02,0.00
421.88,-52.98,0.02,0.00
427.73,-53.02,0.02,0.00
433.59,-53.13,0.02,0.00
439.45,-53.25,0.02,0.00
445.31,-53.37,0.02,0.00
451.17,-53.45,0.02,0.00
457.03,-53.49,0.02,0.00
462.89,-53.44,0.01,0.00
468.75,-53.32,0.01,0.00
474.61,-53.18,0.01,0.00
480.47,-53.03,0.00,0.00
486.33,-52.89,0.00,0.00
492.19,-52.75,0.00,0.00
498.05,-52.58,0.00,0.00
503.91,-52.38,0.00,0.00
509.77,-52.16,0.00,0.00
515.63,-51.92,0.00,0.00
521.48,-51.69,0.00,0.00
527.34,-51.43,0.00,0.00
533.20,-51.17,0.00,0.00
539.06,-50.88,0.00,0.00
544.92,-50.55,0.00,0.00
550.78,-50.18,0.00,0.00
556.64,-49.83,0.00,0.00
562.50,-49.56,0.00,0.00
568.36,-49.19,0.00,0.00
574.22,-48.95,0.00,0.00
580.08,-48.63,0.00,0.00
585.94,-48.26,0.00,0.00
591.80,-48.12,0.00,0.00
597.66,-47.75,0.00,0.00
603.52,-47.58,0.00,0.00
609.38,-47.42,0.00,0.00
615.23,-47.13,0.00,0.00
621.09,-47.04,0.00,0.00
626.95,-46.96,0.00,0.00
632.81,-46.78,0.00,0.00
638.67,-46.62,0.00,0.00
644.53,-46.57,0.00,0.00
650.39,-46.55,0.00,0.00
656.25,-46.51,0.00,0.00
662.11,-46.50,0.00,0.00
667.97,-46.56,0.00,0.00
673.83,-46.54,0.00,0.00
679.69,-46.61,0.00,0.00
685.55,-46.65,0.00,0.00
691.41,-46.58,0.00,0.00
697.27,-46.56,0.00,0.00
703.13,-46.58,0.00,0.00
708.98,-46.46,0.00,0.00
714.84,-46.46,0.00,0.00
720.70,-46.38,0.00,0.00
726.56,-46.32,0.00,0.00
732.42,-46.27,0.00,0.00
738.28,-46.18,0.00,0.00
744.14,-46.10,0.00,0.00
750.00,-45.97,0.00,0.00
755.86,-45.82,0.00,0.00
761.72,-45.64,0.00,0.00
767.58,-45.44,0.00,0.00
773.44,-45.22,0.00,0.00
779.30,-45.00,0.00,0.00
785.16,-44.78,0.00,0.00
791.02,-44.56,0.00,0.00
796.88,-44.34,0.00,0.00
802.73,-44.14,0.00,0.00
808.59,-43.94,0.00,0.00
814.45,-43.74,0.00,0.00
820.31,-43.54,0.00,0.00
826.17,-43.35,0.00,0.00
832.03,-43.15,0.00,0.00
837.89,-42.95,0.00,0.00
843.75,-42.74,0.00,0.00
849.61,-42.54,0.00,0.00
855.47,-42.34,0.00,0.00
861.33,-42.14,0.00,0.00
867.19,-41.96,0.00,0.00
873.05,-41.78,0.00,0.00
878.91,-41.61,0.00,0.00
884.77,-41.46,0.00,0.00
890.63,-41.32,0.00,0.00
896.48,-41.18,0.00,0.00
902.34,-41.06,0.00,0.00
908.20,-40.96,0.00,0.00
914.06,-40.89,0.00,0.00
919.92,-40.86,0.00,0.00
925.78,-40.86,0.00,0.00
931.64,-40.90,0.00,0.00
937.50,-40.97,0.00,0.00
943.36,-41.05,0.00,0.00
949.22,-41.14,0.00,0.00
955.08,-41.24,0.00,0.00
960.94,-41.32,0.00,0.00
966.80,-41.40,0.00,0.00
972.66,-41.47,0.00,0.00
978.52,-41.54,0.00,0.00
984.38,-41.59,0.00,0.00
990.23,-41.63,0.00,0.00
996.09,-41.66,0.00,0.00
1001.95,-41.67,0.00,0.00
1007.81,-41.67,0.00,0.00
1013.67,-41.66,0.00,0.00
1019.53,-41.64,0.00,0.00
1025.39,-41.62,0.00,0.00
1031.25,-41.59,0.00,0.00
1037.11,-41.55,0.00,0.00
1042.97,-41.51,0.00,0.00
1048.83,-41.47,0.00,0.00
1054.69,-41.42,0.00,0.00
1060.55,-41.35,0.00,0.00
1066.41,-41.28,0.00,0.00
1072.27,-41.18,0.00,0.00
1078.13,-41.08,0.00,0.00
1083.98,-40.98,0.00,0.00
1089.84,-40.88,0.00,0.00
1095.70,-40.79,0.00,0.00
1101.56,-40.70,0.00,0.00
1107.42,-40.62,0.00,0.00
1113.28,-40.55,0.00,0.00
1119.14,-40.47,0.00,0.00
1125.00,-40.39,0.00,0.00
1130.86,-40.32,0.00,0.00
1136.72,-40.25,0.00,0.00
1142.58,-40.17,0.00,0.00
1148.44,-40.08,0.00,0.00
1154.30,-39.98,0.00,0.00
1160.16,-39.87,0.00,0.00
1166.02,-39.76,0.00,0.00
1171.88,-39.63,0.00,0.00
1177.73,-39.50,0.00,0.00
1183.59,-39.37,0.00,0.00
1189.45,-39.23,0.00,0.00
1195.31,-39.09,0.00,0.00
1201.17,-38.94,0.00,0.00
1207.03,-38.79,0.00,0.00
1212.89,-38.63,0.00,0.00
1218.75,-38.47,0.00,0.00
1224.61,-38.30,0.00,0.00
1230.47,-38.14,0.00,0.00
1236.33,-38.00,0.00,0.00
1242.19,-37.86,0.00,0.00
1248.05,-37.74,0.00,0.00
1253.91,-37.63,0.00,0.00
1259.77,-37.53,0.00,0.00
1265.63,-37.43,0.00,0.00
1271.48,-37.34,0.00,0.00
1277.34,-37.26,0.00,0.00
1283.20,-37.17,0.00,0.00
1289.06,-37.10,0.00,0.00
1294.92,-37.02,0.00,0.00
1300.78,-36.95,0.00,0.00
1306.64,-36.88,0.00,0.00
1312.50,-36.80,0.00,0.00
1318.36,-36.71,0.00,0.00
1324.22,-36.61,0.00,0.00
1330.08,-36.49,0.00,0.00
1335.94,-36.35,0.00,0.00
1341.80,-36.19,0.00,0.00
1347.66,-35.99,0.00,0.00
1353.52,-35.77,0.00,0.00
1359.38,-35.54,0.00,0.00
1365.23,-35.30,0.00,0.00
1371.09,-35.08,0.00,0.00
1376.95,-34.88,0.00,0.00
1382.81,-34.71,0.00,0.00
1388.67,-34.58,0.00,0.00
1394.53,-34.49,0.00,0.00
1400.39,-34.45,0.00,0.00
1406.25,-34.45,0.00,0.00
1412.11,-34.49,0.00,0.00
1417.97,-34.57,0.00,0.00
1423.83,-34.68,0.00,0.00
1429.69,-34.81,0.00,0.00
1435.55,-34.96,0.00,0.00
1441.41,-35.11,0.00,0.00
1447.27,-35.26,0.00,0.00
1453.13,-35.42,0.00,0.00
1458.98,-35.56,0.00,0.00
1464.84,-35.69,0.00,0.00
1470.70,-35.81,0.00,0.00
1476.56,-35.89,0.00,0.00
1482.42,-35.96,0.00,0.00
1488.28,-36.01,0.00,0.00
1494.14,-36.04,0.00,0.00
1500.00,-36.05,0.00,0.00
1505.86,-36.05,0.00,0.00
1511.72,-36.03,0.00,0.00
1517.58,-36.01,0.00,0.00
1523.44,-35.98,0.00,0.00
1529.30,-35.96,0.00,0.00
1535.16,-35.95,0.00,0.00
1541.02,-35.95,0.00,0.00
1546.88,-35.96,0.00,0.00
1552.73,-35.99,0.00,0.00
1558.59,-36.05,0.00,0.00
1564.45,-36.12,0.00,0.00
1570.31,-36.21,0.00,0.00
1576.17,-36.33,0.00,0.00
1582.03,-36.47,0.00,0.00
1587.89,-36.65,0.00,0.00
1593.75,-36.85,0.00,0.00
1599.61,-37.08,0.00,0.00
1605.47,-37.33,0.00,0.00
1611.33,-37.61,0.00,0.00
1617.19,-37.90,0.00,0.00
1623.05,-38.17,0.00,0.00
1628.91,-38.41,0.00,0.00
1634.77,-38.58,0.00,0.00
1640.63,-38.68,0.00,0.00
1646.48,-38.73,0.00,0.00
1652.34,-38.75,0.00,0.00
1658.20,-38.74,0.00,0.00
1664.06,-38.74,0.00,0.00
1669.92,-38.74,0.00,0.00
1675.78,-38.73,0.00,0.00
1681.64,-38.73,0.00,0.00
1687.50,-38.73,0.00,0.00
1693.36,-38.73,0.00,0.00
1699.22,-38.73,0.00,0.00
1705.08,-38.73,0.00,0.00
1710.94,-38.73,0.00,0.00
1716.80,-38.73,0.00,0.00
1722.66,-38.73,0.00,0.00
1728.52,-38.72,0.00,0.00
1734.38,-38.72,0.00,0.00
1740.23,-38.71,0.00,0.00
1746.09,-38.66,0.00,0.00
1751.95,-38.62,0.00,0.00
1757.81,-38.58,0.00,0.00
1763.67,-38.53,0.00,0.00
1769.53,-38.49,0.00,0.00
1775.39,-38.46,0.00,0.00
1781.25,-38.45,0.00,0.00
1787.11,-38.46,0.00,0.00
1792.97,-38.51,0.00,0.00
1798.83,-38.60,0.00,0.00
1804.69,-38.72,0.00,0.00
1810.55,-38.86,0.00,0.00
1816.41,-39.04,0.00,0.00
1822.27,-39.23,0.00,0.00
1828.13,-39.43,0.00,0.00
1833.98,-39.64,0.00,0.00
1839.84,-39.83,0.00,0.00
1845.70,-40.01,0.00,0.00
1851.56,-40.17,0.00,0.00
1857.42,-40.32,0.00,0.00
1863.28,-40.41,0.00,0.00
1869.14,-40.45,0.00,0.00
1875.00,-40.47,0.00,0.00
1880.86,-40.46,0.00,0.00
1886.72,-40.41,0.00,0.00
1892.58,-40.33,0.00,0.00
1898.44,-40.22,0.00,0.00
1904.30,-40.10,0.00,0.00
1910.16,-39.96,0.00,0.00
1916.02,-39.80,0.00,0.00
1921.88,-39.64,0.00,0.00
1927.73,-39.47,0.00,0.00
1933.59,-39.29,0.00,0.00
1939.45,-39.09,0.00,0.00
1945.31,-38.89,0.00,0.00
1951.17,-38.69,0.00,0.00
1957.03,-38.49,0.00,0.00
1962.89,-38.30,0.00,0.00
1968.75,-38.13,0.00,0.00
