Hz,dBFS(rms),THD(%),BUZZ(%)
0.00,-50.15,0.00,0.00,slices,2915
5.86,-45.12,0.00,0.00,ffts,2915
11.72,-47.86,0.00,0.00
17.58,-49.53,0.00,0.00
23.44,-52.70,0.00,0.00
29.30,-55.38,0.00,0.00
35.16,-52.52,0.00,0.00
41.02,-56.33,0.00,0.00
46.88,-57.25,0.00,0.00
52.73,-58.28,0.00,0.00
58.59,-57.75,0.00,0.00
64.45,-58.06,0.00,0.00
70.31,-61.13,0.00,0.00
76.17,-64.88,0.00,0.00
82.03,-69.70,0.00,0.00
87.89,-71.59,0.00,0.00
93.75,-72.27,0.00,0.00
99.61,-68.82,0.00,0.00
105.47,-71.45,0.00,0.00
111.33,-72.60,0.00,0.00
117.19,-66.97,0.00,0.00
123.05,-66.90,0.00,0.00
128.91,-70.78,0.00,0.00
134.77,-73.15,0.00,0.00
140.63,-75.07,0.00,0.00
146.48,-74.77,0.00,0.00
152.34,-74.59,0.00,0.00
158.20,-75.87,0.00,0.00
164.06,-77.34,0.00,0.00
169.92,-78.31,0.00,0.00
175.78,-78.31,0.00,0.00
181.64,-79.35,0.00,0.00
187.50,-81.20,0.00,0.00
193.36,-82.00,0.00,0.00
199.22,-81.89,0.00,0.00
205.08,-83.00,0.00,0.00
210.94,-84.03,0.00,0.00
216.80,-83.96,0.00,0.00
222.66,-83.75,0.00,0.00
228.52,-82.67,0.00,0.00
234.38,-82.34,0.00,0.00
240.23,-82.48,0.00,0.00
246.09,-83.35,0.00,0.00
251.95,-84.06,0.00,0.00
257.81,-84.04,0.00,0.00
263.67,-84.30,0.00,0.00
269.53,-85.18,0.00,0.00
275.39,-86.13,0.00,0.00
281.25,-84.72,0.00,0.00
287.11,-83.79,0.00,0.00
292.97,-83.14,0.00,0.00
298.83,-82.07,0.00,0.00
304.69,-82.66,0.00,0.00
310.55,-83.55,0.00,0.00
316.41,-84.58,0.00,0.00
322.27,-84.73,0.00,0.00
328.13,-84.01,0.00,0.00
333.98,-84.45,0.00,0.00
339.84,-84.62,0.00,0.00
345.70,-84.65,0.00,0.00
351.56,-84.71,0.00,0.00
357.42,-84.74,0.00,0.00
363.28,-85.20,0.00,0.00
369.14,-85.97,0.00,0.00
375.00,-86.58,0.00,0.00
380.86,-86.46,0.00,0.00
386.72,-86.16,0.00,0.00
392.58,-86.11,0.00,0.00
398.44,-85.55,0.00,0.00
404.30,-85.47,0.00,0.00
410.16,-85.69,0.00,0.00
416.02,-86.63,0.00,0.00
421.88,-86.64,0.00,0.00
427.73,-85.99,0.00,0.00
433.59,-85.59,0.00,0.00
439.45,-85.77,0.00,0.00
445.31,-86.26,0.00,0.00
451.17,-86.56,0.00,0.00
457.03,-86.45,0.00,0.00
462.89,-86.13,0.00,0.00
468.75,-85.88,0.00,0.00
474.61,-86.61,0.00,0.00
480.47,-86.44,0.00,0.00
486.33,-86.50,0.00,0.00
492.19,-86.36,0.00,0.00
498.05,-86.30,0.00,0.00
503.91,-85.74,0.00,0.00
509.77,-85.59,0.00,0.00
515.63,-85.51,0.00,0.00
521.48,-86.08,0.00,0.00
527.34,-86.24,0.00,0.00
533.20,-85.33,0.00,0.00
539.06,-85.18,0.00,0.00
544.92,-84.81,0.00,0.00
550.78,-85.31,0.00,0.00
556.64,-85.34,0.00,0.00
562.50,-85.15,0.00,0.00
568.36,-84.34,0.00,0.00
574.22,-84.59,0.00,0.00
580.08,-84.26,0.00,0.00
585.94,-84.25,0.00,0.00
591.80,-84.05,0.00,0.00
597.66,-84.03,0.00,0.00
603.52,-84.13,0.00,0.00
609.38,-83.98,0.00,0.00
615.23,-83.65,0.00,0.00
621.09,-83.05,0.00,0.00
626.95,-83.52,0.00,0.00
632.81,-83.28,0.00,0.00
638.67,-83.36,0.00,0.00
644.53,-82.98,0.00,0.00
650.39,-82.88,0.00,0.00
656.25,-82.78,0.00,0.00
662.11,-82.51,0.00,0.00
667.97,-82.90,0.00,0.00
673.83,-82.70,0.00,0.00
679.69,-82.52,0.00,0.00
685.55,-82.13,0.00,0.00
691.41,-82.04,0.00,0.00
697.27,-82.14,0.00,0.00
703.13,-81.80,0.00,0.00
708.98,-81.75,0.00,0.00
714.84,-81.18,0.00,0.00
720.70,-81.28,0.00,0.00
726.56,-80.94,0.00,0.00
732.42,-80.31,0.00,0.00
738.28,-80.47,0.00,0.00
744.14,-80.21,0.00,0.00
750.00,-79.81,0.00,0.00
755.86,-79.70,0.00,0.00
761.72,-79.75,0.00,0.00
767.58,-79.71,0.00,0.00
773.44,-79.15,0.00,0.00
779.30,-78.95,0.00,0.00
785.16,-78.88,0.00,0.00
791.02,-78.42,0.00,0.00
796.88,-77.87,0.00,0.00
802.73,-77.62,0.00,0.00
808.59,-77.52,0.00,0.00
814.45,-77.19,0.00,0.00
820.31,-76.67,0.00,0.00
826.17,-76.25,0.00,0.00
832.03,-76.12,0.00,0.00
837.89,-75.82,0.00,0.00
