[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,250,-20,-110
Range 2,250,1400,-20,-110
Range 3,1400,3999,-20,-70
Range 4,3999,4003,-20,-70
Range 5,4003,5500,-20,-80
Range 6,5500,7000,-30,-95
Range 7,7000,10000,-35,-85
Range 8,10000,12000,-35,-120
Range 9,12000,15000,-50,-120
Range 10,15000,15500,-70,-120
Hz,dBFS(rms),Upper Limit,Lower Limit
1136.72,-34.83,-20,-110
1142.58,-34.73,-20,-110
1148.44,-34.63,-20,-110
1154.3,-34.53,-20,-110
1160.16,-34.42,-20,-110
1166.02,-34.32,-20,-110
1171.88,-34.2,-20,-110
1177.73,-34.09,-20,-110
1183.59,-33.98,-20,-110
1189.45,-33.86,-20,-110
1195.31,-33.74,-20,-110
1201.17,-33.62,-20,-110
1207.03,-33.5,-20,-110
1212.89,-33.39,-20,-110
1218.75,-33.3,-20,-110
1224.61,-33.22,-20,-110
1230.47,-33.15,-20,-110
1236.33,-33.09,-20,-110
1242.19,-33.04,-20,-110
1248.05,-33,-20,-110
1253.91,-32.97,-20,-110
1259.77,-32.97,-20,-110
1265.63,-32.95,-20,-110
1271.48,-32.95,-20,-110
1277.34,-32.94,-20,-110
1283.2,-32.94,-20,-110
1289.06,-32.94,-20,-110
1294.92,-32.94,-20,-110
1300.78,-32.94,-20,-110
1306.64,-32.94,-20,-110
1312.5,-32.94,-20,-110
1318.36,-32.94,-20,-110
1324.22,-32.95,-20,-110
1330.08,-32.96,-20,-110
1335.94,-32.97,-20,-110
1341.8,-32.97,-20,-110
1347.66,-32.96,-20,-110
1353.52,-32.94,-20,-110
1359.38,-32.9,-20,-110
1365.23,-32.83,-20,-110
1371.09,-32.73,-20,-110
1376.95,-32.63,-20,-110
1382.81,-32.52,-20,-110
1388.67,-32.41,-20,-110
1394.53,-32.33,-20,-110
1400.39,-32.28,-20,-70
1406.25,-32.26,-20,-70
1412.11,-32.27,-20,-70
1417.97,-32.3,-20,-70
1423.83,-32.35,-20,-70
1429.69,-32.4,-20,-70
1435.55,-32.46,-20,-70
1441.41,-32.51,-20,-70
1447.27,-32.55,-20,-70
1453.13,-32.58,-20,-70
1458.98,-32.6,-20,-70
1464.84,-32.61,-20,-70
1470.7,-32.6,-20,-70
1476.56,-32.58,-20,-70
1482.42,-32.55,-20,-70
1488.28,-32.52,-20,-70
1494.14,-32.47,-20,-70
1500,-32.43,-20,-70
1505.86,-32.38,-20,-70
1511.72,-32.33,-20,-70
1517.58,-32.28,-20,-70
1523.44,-32.24,-20,-70
1529.3,-32.2,-20,-70
1535.16,-32.17,-20,-70
1541.02,-32.13,-20,-70
1546.88,-32.1,-20,-70
1552.73,-32.07,-20,-70
1558.59,-32.05,-20,-70
1564.45,-32.02,-20,-70
1570.31,-32.01,-20,-70
1576.17,-31.99,-20,-70
1582.03,-31.97,-20,-70
1587.89,-31.97,-20,-70
1593.75,-31.97,-20,-70
1599.61,-31.97,-20,-70
1605.47,-31.98,-20,-70
1611.33,-31.99,-20,-70
1617.19,-32.01,-20,-70
1623.05,-32.02,-20,-70
1628.91,-32.01,-20,-70
1634.77,-31.96,-20,-70
1640.63,-31.87,-20,-70
1646.48,-31.76,-20,-70
1652.34,-31.63,-20,-70
1658.2,-31.5,-20,-70
1664.06,-31.37,-20,-70
1669.92,-31.24,-20,-70
1675.78,-31.11,-20,-70
1681.64,-30.99,-20,-70
1687.5,-30.88,-20,-70
1693.36,-30.78,-20,-70
1699.22,-30.68,-20,-70
1705.08,-30.59,-20,-70
1710.94,-30.51,-20,-70
1716.8,-30.44,-20,-70
1722.66,-30.37,-20,-70
1728.52,-30.32,-20,-70
1734.38,-30.27,-20,-70
1740.23,-30.23,-20,-70
1746.09,-30.2,-20,-70
1751.95,-30.17,-20,-70
1757.81,-30.15,-20,-70
1763.67,-30.13,-20,-70
1769.53,-30.11,-20,-70
1775.39,-30.1,-20,-70
1781.25,-30.09,-20,-70
1787.11,-30.08,-20,-70
1792.97,-30.08,-20,-70
1798.83,-30.1,-20,-70
1804.69,-30.12,-20,-70
1810.55,-30.15,-20,-70
1816.41,-30.19,-20,-70
1822.27,-30.24,-20,-70
1828.13,-30.29,-20,-70
1833.98,-30.34,-20,-70
1839.84,-30.38,-20,-70
1845.7,-30.4,-20,-70
1851.56,-30.4,-20,-70
1857.42,-30.4,-20,-70
1863.28,-30.38,-20,-70
1869.14,-30.36,-20,-70
1875,-30.34,-20,-70
1880.86,-30.33,-20,-70
1886.72,-30.3,-20,-70
1892.58,-30.26,-20,-70
1898.44,-30.22,-20,-70
1904.3,-30.18,-20,-70
1910.16,-30.12,-20,-70
1916.02,-30.06,-20,-70
1921.88,-30.02,-20,-70
1927.73,-30,-20,-70
1933.59,-30,-20,-70
1939.45,-29.99,-20,-70
1945.31,-30.01,-20,-70
1951.17,-30.02,-20,-70
1957.03,-30.03,-20,-70
1962.89,-30.02,-20,-70
1968.75,-30,-20,-70
1974.61,-29.98,-20,-70
1980.47,-29.97,-20,-70
1986.33,-29.98,-20,-70
1992.19,-29.98,-20,-70
1998.05,-29.99,-20,-70
2003.91,-30.01,-20,-70
2009.77,-30.04,-20,-70
2015.63,-30.04,-20,-70
2021.48,-30.03,-20,-70
2027.34,-30.02,-20,-70
2033.2,-29.99,-20,-70
2039.06,-29.96,-20,-70
2044.92,-29.95,-20,-70
2050.78,-29.95,-20,-70
2056.64,-29.97,-20,-70
2062.5,-30,-20,-70
2068.36,-30.05,-20,-70
2074.22,-30.12,-20,-70
2080.08,-30.19,-20,-70
2085.94,-30.3,-20,-70
2091.8,-30.43,-20,-70
2097.66,-30.57,-20,-70
2103.52,-30.72,-20,-70
2109.38,-30.91,-20,-70
2115.23,-31.12,-20,-70
2121.09,-31.35,-20,-70
2126.95,-31.61,-20,-70
2132.81,-31.9,-20,-70
2138.67,-32.2,-20,-70
2144.53,-32.53,-20,-70
2150.39,-32.88,-20,-70
2156.25,-33.26,-20,-70
2162.11,-33.65,-20,-70
2167.97,-34.05,-20,-70
2173.83,-34.46,-20,-70
2179.69,-34.88,-20,-70
2185.55,-35.29,-20,-70
2191.41,-35.69,-20,-70
2197.27,-36.05,-20,-70
2203.13,-36.41,-20,-70
2208.98,-36.74,-20,-70
2214.84,-37.05,-20,-70
2220.7,-37.33,-20,-70
2226.56,-37.55,-20,-70
2232.42,-37.74,-20,-70
2238.28,-37.9,-20,-70
2244.14,-38,-20,-70
2250,-38.06,-20,-70
2255.86,-38.09,-20,-70
2261.72,-38.07,-20,-70
2267.58,-38.02,-20,-70
2273.44,-37.95,-20,-70
2279.3,-37.85,-20,-70
2285.16,-37.76,-20,-70
2291.02,-37.65,-20,-70
2296.88,-37.55,-20,-70
2302.73,-37.45,-20,-70
2308.59,-37.36,-20,-70
2314.45,-37.26,-20,-70
2320.31,-37.17,-20,-70
2326.17,-37.09,-20,-70
2332.03,-37,-20,-70
2337.89,-36.94,-20,-70
2343.75,-36.88,-20,-70
2349.61,-36.83,-20,-70
2355.47,-36.81,-20,-70
2361.33,-36.8,-20,-70
2367.19,-36.79,-20,-70
2373.05,-36.8,-20,-70
2378.91,-36.8,-20,-70
2384.77,-36.79,-20,-70
2390.63,-36.78,-20,-70
2396.48,-36.76,-20,-70
2402.34,-36.75,-20,-70
2408.2,-36.75,-20,-70
2414.06,-36.76,-20,-70
2419.92,-36.78,-20,-70
2425.78,-36.81,-20,-70
2431.64,-36.87,-20,-70
2437.5,-36.95,-20,-70
2443.36,-37.05,-20,-70
2449.22,-37.17,-20,-70
2455.08,-37.31,-20,-70
2460.94,-37.47,-20,-70
2466.8,-37.66,-20,-70
2472.66,-37.88,-20,-70
2478.52,-38.12,-20,-70
2484.38,-38.37,-20,-70
2490.23,-38.65,-20,-70
2496.09,-38.92,-20,-70
2501.95,-39.22,-20,-70
2507.81,-39.54,-20,-70
2513.67,-39.88,-20,-70
2519.53,-40.24,-20,-70
2525.39,-40.62,-20,-70
2531.25,-41,-20,-70
2537.11,-41.39,-20,-70
2542.97,-41.78,-20,-70
2548.83,-42.2,-20,-70
2554.69,-42.62,-20,-70
2560.55,-43.03,-20,-70
2566.41,-43.49,-20,-70
2572.27,-43.96,-20,-70
2578.13,-44.42,-20,-70
2583.98,-44.89,-20,-70
2589.84,-45.34,-20,-70
2595.7,-45.84,-20,-70
2601.56,-46.41,-20,-70
2607.42,-46.94,-20,-70
2613.28,-47.5,-20,-70
2619.14,-48.09,-20,-70
2625,-48.71,-20,-70
2630.86,-49.4,-20,-70
2636.72,-50.11,-20,-70
2642.58,-50.82,-20,-70
2648.44,-51.59,-20,-70
2654.3,-52.34,-20,-70
2660.16,-52.95,-20,-70
2666.02,-53.15,-20,-70
2671.88,-52.84,-20,-70
2677.73,-52.4,-20,-70
2683.59,-51.93,-20,-70
2689.45,-51.35,-20,-70
2695.31,-50.8,-20,-70
2701.17,-50.3,-20,-70
2707.03,-49.83,-20,-70
2712.89,-49.43,-20,-70
2718.75,-49.05,-20,-70
2724.61,-48.77,-20,-70
2730.47,-48.59,-20,-70
2736.33,-48.39,-20,-70
2742.19,-48.21,-20,-70
2748.05,-48.04,-20,-70
2753.91,-47.87,-20,-70
2759.77,-47.72,-20,-70
2765.63,-47.56,-20,-70
2771.48,-47.4,-20,-70
2777.34,-47.25,-20,-70
2783.2,-47.07,-20,-70
2789.06,-46.89,-20,-70
2794.92,-46.71,-20,-70
2800.78,-46.52,-20,-70
2806.64,-46.32,-20,-70
2812.5,-46.13,-20,-70
2818.36,-45.94,-20,-70
2824.22,-45.76,-20,-70
2830.08,-45.58,-20,-70
2835.94,-45.42,-20,-70
2841.8,-45.27,-20,-70
2847.66,-45.13,-20,-70
2853.52,-44.99,-20,-70
2859.38,-44.91,-20,-70
2865.23,-44.84,-20,-70
2871.09,-44.79,-20,-70
2876.95,-44.75,-20,-70
2882.81,-44.76,-20,-70
2888.67,-44.79,-20,-70
2894.53,-44.85,-20,-70
2900.39,-44.92,-20,-70
2906.25,-45.02,-20,-70
2912.11,-45.13,-20,-70
2917.97,-45.22,-20,-70
2923.83,-45.31,-20,-70
2929.69,-45.43,-20,-70
2935.55,-45.54,-20,-70
2941.41,-45.69,-20,-70
2947.27,-45.88,-20,-70
2953.13,-46.04,-20,-70
2958.98,-46.24,-20,-70
2964.84,-46.42,-20,-70
2970.7,-46.57,-20,-70
2976.56,-46.74,-20,-70
2982.42,-46.93,-20,-70
2988.28,-47.11,-20,-70
2994.14,-47.32,-20,-70
3000,-47.5,-20,-70
3005.86,-47.68,-20,-70
3011.72,-47.96,-20,-70
3017.58,-48.19,-20,-70
3023.44,-48.39,-20,-70
3029.3,-48.65,-20,-70
3035.16,-48.9,-20,-70
3041.02,-49.1,-20,-70
3046.88,-49.35,-20,-70
3052.73,-49.59,-20,-70
3058.59,-49.82,-20,-70
3064.45,-50.1,-20,-70
3070.31,-50.33,-20,-70
3076.17,-50.56,-20,-70
3082.03,-50.83,-20,-70
