[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,250,-30,-100
Range 2,250,6000,-30,-100
Range 3,6000,6700,-30,-100
Range 4,6700,7400,-30,-110
Range 5,7400,8100,-30,-100
Range 6,8100,9000,-30,-100
Range 7,9000,12500,-40,-100
Range 8,12500,14500,-45,-130
Range 9,14500,15000,-65,-130
Range 10,15000,15500,-70,-130
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-75.22,-30,-100
5.86,-66.41,-30,-100
11.72,-60.38,-30,-100
17.58,-57.98,-30,-100
23.44,-60.56,-30,-100
29.3,-61.47,-30,-100
35.16,-60.76,-30,-100
41.02,-58.7,-30,-100
46.88,-50.91,-30,-100
52.73,-51.62,-30,-100
58.59,-57.67,-30,-100
64.45,-59.7,-30,-100
70.31,-63.33,-30,-100
76.17,-67.16,-30,-100
82.03,-70.03,-30,-100
87.89,-70.35,-30,-100
93.75,-70.7,-30,-100
99.61,-69.94,-30,-100
105.47,-66.17,-30,-100
111.33,-60.33,-30,-100
117.19,-53.63,-30,-100
123.05,-48.93,-30,-100
128.91,-47.37,-30,-100
134.77,-47.15,-30,-100
140.63,-46.31,-30,-100
146.48,-45.98,-30,-100
152.34,-45.61,-30,-100
158.2,-45.06,-30,-100
164.06,-44.4,-30,-100
169.92,-43.79,-30,-100
175.78,-43.31,-30,-100
181.64,-42.97,-30,-100
187.5,-42.77,-30,-100
193.36,-42.62,-30,-100
199.22,-42.54,-30,-100
205.08,-42.56,-30,-100
210.94,-42.67,-30,-100
216.8,-42.82,-30,-100
222.66,-43,-30,-100
228.52,-43.18,-30,-100
234.38,-43.4,-30,-100
240.23,-43.62,-30,-100
246.09,-43.84,-30,-100
251.95,-44.08,-30,-100
257.81,-44.25,-30,-100
263.67,-44.48,-30,-100
269.53,-44.73,-30,-100
275.39,-45.02,-30,-100
281.25,-45.36,-30,-100
287.11,-45.76,-30,-100
292.97,-46.21,-30,-100
298.83,-46.71,-30,-100
